2025-10-09,SEND E-TFR ***hqC,30,,832.42
2025-10-09,SEND E-TFR ***hGC,35,,797.42
2025-10-09,IW435 TFR-TO C/C,498.05,,299.37
2025-10-09,IW532 TFR-TO 6125141,127,,172.37
2025-10-09,IL145 TFR-TO C/C,25,,147.37
2025-10-09,IU571 TFR-TO C/C,40,,107.37
2025-10-09,PAYPAL *PA   16.39_V,16.39,,90.98
2025-10-10,NSLSC            MSP,60,,30.98
2025-10-14,STEAMGAMES    4.40_V,4.4,,26.58
2025-10-14,UL304 TFR-FR C/C,,390,416.58
2025-10-14,PEARLE VISION,390,,26.58
2025-10-14,UO022 TFR-FR 6125141,,45,71.58
2025-10-14,PIZZA HUT         _F,19.2,,52.38
2025-10-14,SHOPPERS DRUG M   _F,15,,37.38
2025-10-14,LL451 TFR-FR 6125141,,20,57.38
2025-10-14,BET365 ENDZIN 2   _V,20,,37.38
2025-10-14,SEND E-TFR ***5Wr,1,,36.38
2025-10-14,CANCEL E-TFR ***5Wr,,1,37.38
2025-10-14,RW432 TFR-FR 6125141,,30,67.38
2025-10-14,SEND E-TFR ***fVg,40,,27.38
2025-10-14,RP371 TFR-FR 6125141,,32,59.38
2025-10-14,WENDY'S #6697     _F,9.35,,50.03
2025-10-14,VESTA  *CHATR     _V,39.55,,10.48
2025-10-14,WW235 TFR-FR C/C,,100,110.48
2025-10-14,BET365 ENDZIN 2   _V,10,,100.48
2025-10-15,E-TRANSFER ***ARV,,955,1055.48
2025-10-15,SEND E-TFR ***Gt2,955,,100.48
2025-10-15,UBER CANADA/UBE   _V,18.63,,81.85
2025-10-15,BET365 ENDZIN 2   _V,10,,71.85
2025-10-16,IW272 TFR-FR C/C,,5,76.85
2025-10-16,IW275 TFR-FR C/C,,9,85.85
2025-10-17,E-TRANSFER ***bnV,,1000,1085.85
2025-10-17,APPLE.COM/BILL    _V,14.68,,1071.17
2025-10-17,E-TRANSFER ***Cu3,,27.56,1098.73
2025-10-17,GC 3831-DEPOSIT,,37.49,1136.22
2025-10-17,GC 3831-DEPOSIT,,2400,3536.22
2025-10-17,CAD DRAFT 11408234,3509.95,,26.27
2025-10-17,UBER CANADA/UBE   _V,13.28,,12.99
2025-10-20,E-TRANSFER ***WZf,,40,52.99
2025-10-20,UBER CANADA/UBE   _V,15.53,,37.46
2025-10-20,UBER CANADA/UBE   _V,16.18,,21.28
2025-10-20,UBER CANADA/UBE   _V,,15.53,36.81
2025-10-20,SHOPPERS DRUG M   _F,10,,26.81
2025-10-20,FRESHCO #3861     _F,18.33,,8.48
2025-10-20,E-TRANSFER ***BVd,,20,28.48
2025-10-21,PAYPAL *UBER      _V,11.29,,17.19
2025-10-22,Spotify P3   14.34_V,14.34,,2.85
2025-10-22,WENDY'S #6697     _F,2.82,,0.03
2025-10-23,TD               PAY,,566.49,566.52
2025-10-23,PIZZA NOVA 324    _F,10.78,,555.74
2025-10-23,PRES/QB75WBCKDK   _T,4.75,,550.99
2025-10-23,MCDONALD'S #400   _F,20.77,,530.22
2025-10-24,SHOPPERS DRUG M   _F,36.87,,493.35
2025-10-24,UBER CANADA/UBE   _V,24.14,,469.21
2025-10-24,UBER * PENDING    _V,12.74,,456.47
2025-10-24,TIM HORTONS #26   _F,8.45,,448.02
2025-10-24,UBER CANADA/UBE   _V,12.96,,435.06
2025-10-24,BET365 ENDZIN 2   _V,20,,415.06
2025-10-24,BET365 ENDZIN 2   _V,20,,395.06
2025-10-24,JW011 TFR-TO 6125141,275,,120.06
2025-10-24,BET365 ENDZIN 2   _V,20,,100.06
2025-10-24,UBER * PENDING    _V,,12.74,112.8
2025-10-24,JZ462 TFR-TO 6125141,50,,62.8
2025-10-27,BET365 ENDZIN 2   _V,,27,89.8
2025-10-27,BET365 ENDZIN 2   _V,,60,149.8
2025-10-27,JB392 TFR-TO 6125141,35,,114.8
2025-10-27,BET365 ENDZIN 2   _V,,35,149.8
2025-10-27,BET365 ENDZIN 2   _V,20,,129.8
2025-10-27,FRESHCO #3861     _F,74.12,,55.68
2025-10-27,OSMOW'S BROOKLI   _F,16.37,,39.31
2025-10-27,UO232 TFR-FR 6125141,,11,50.31
2025-10-27,SHOPPERS DRUG M   _F,24.83,,25.48
2025-10-27,SEND E-TFR ***gqM,20,,5.48
2025-10-27,LP411 TFR-FR 6125141,,49,54.48
2025-10-27,Uber Holdings C   _V,21.7,,32.78
2025-10-27,UBER CANADA/UBE   _V,11.67,,21.11
2025-10-27,MCDONALD'S #400   _F,10.03,,11.08
2025-10-27,RX172 TFR-FR 6125141,,50,61.08
2025-10-28,BET365 ENDZIN 2   _V,30,,31.08
2025-10-28,UBER CANADA/UBE   _V,11.34,,19.74
2025-10-28,POPEYES #11331    _F,5.65,,14.09
2025-10-28,PIZZA HUT         _F,12.42,,1.67
2025-10-28,WR430 TFR-FR 6125141,,50,51.67
2025-10-28,BOOKLIN SMOKEY    _F,7.75,,43.92
2025-10-28,WY323 TFR-FR 6125141,,100,143.92
2025-10-28,SEND E-TFR ***EVx,100,,43.92
2025-10-29,E-TRANSFER ***ANr,,100,143.92
2025-10-29,BET365 ENDZIN 2   _V,30,,113.92
2025-10-29,UBER CANADA/UBE   _V,58.32,,55.6
2025-10-30,MCDONALD'S #400   _F,25.97,,29.63
2025-10-31,JL175 TFR-FR 6125141,,100,129.63
2025-10-31,UBER * PENDING    _V,8.59,,121.04
2025-10-31,E-TRANSFER ***Bw8,,2800,2921.04
2025-10-31,TD ATM W/D    004633,2650,,271.04
2025-10-31,SHOPPERS DRUG M   _F,2.7,,268.34
2025-10-31,DOLLARAMA # 682   _F,12.43,,255.91
2025-10-31,A&W #4570         _F,16.98,,238.93
2025-10-31,NSLSC            MSP,127.94,,110.99
2025-10-31,CHQ RETURN FEE,2,,108.99
2025-11-03,UBER CANADA/UBE   _V,12.03,,96.96
2025-11-03,OSMOW'S BROOKLI   _F,26.77,,70.19
2025-11-03,E-TFR ***XBM EPAY,,1500,1570.19
2025-11-03,SEND E-TFR ***ahN,500,,1070.19
